StudentID,IdNumber,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Withdrawn
450,0502548,HCACC,N,N,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,6,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,2643,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
472,0502690,ACPSS6,N,N,640,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,0,28/08/2023 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,Yes,No,Any mixed background,1521,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1
472,0502690,ACPSS6,N,N,640,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,0,13/09/2023 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,Yes,No,Any mixed background,1521,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
472,0502690,CDGFI4,N,Y,20,8,1,5,PT,FE,Other vocational programme – other,Other,0,24/08/2023 00:00,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,Yes,No,Any mixed background,1521,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
539,0503139,NQHMB6,N,Y,160,19,1,9,PT,FE,Other vocational programme – other,Dunfermline,3,15/01/2024 00:00,N,Permanent or temporary employment,Universal Credit (UC),No,No known disability,No,No,Scottish,1833,Female,Other,Scotland,None,Heterosexual/straight,0
539,0503139,NQHUB6,N,Y,160,17,1,0,PT,FE,Other vocational programme – other,Dunfermline,1,22/08/2023 00:00,N,Permanent or temporary employment,Universal Credit (UC),No,No known disability,No,No,Scottish,1833,Female,Other,Scotland,None,Heterosexual/straight,0
599,0503624,VQSSH3,N,N,220,36,3,0,PT,FE,Other vocational programme – other,Kirkcaldy,45,29/01/2024 00:00,N,Registered unemployed - not receiving jobseekers allowance,Self-financing student,No,Multiple,No,No,Scottish,1274,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0
633,0503975,ICTRT5,N,N,640,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,41,28/08/2023 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,610,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
640,0503997,NCWES,N,Y,40,11,1,3,PT,FE,Other vocational programme – other,Glenrothes,1,06/09/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,Multiple(+MH),No,No,Scottish,3568,Male,Other,Scotland,Christian: Protestant,Heterosexual/straight,0
711,0504610,ONAAC3,N,N,90,40,1,2,PT,FE,Other vocational programme – for students with learning difficulties,Dunfermline,-30,24/10/2023 00:00,N,Not registered unemployed but not working,Fee waiver – student on a DPG 18 / PG 5 programme,No,No known disability,No,No,Scottish,5161,Male,Other,Scotland,None,Heterosexual/straight,0
734,0504692,OALDE9,N,N,0,52,3,0,PT,HE,Other vocational programme – other,Dunfermline,-55,01/08/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,6100,Male,Other,Scotland,None,Gay man,0
802,0504959,ICBUE5,N,N,370,18,1,21,PT,FE,Other vocational programme – other,Dunfermline,-1,05/02/2024 00:00,Y,Full-time college based not included above,Fee waiver – Short full-time (SFT) course,No,No known disability,No,No,Scottish,2031,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
807,0504969,FEBCUA,N,N,40,40,1,1,PT,FE,Other vocational programme – other,Other,-22,28/08/2023 00:00,N,Permanent or temporary employment,Self-financing student,No,Mental Health Condition,No,No,Scottish,3274,Female,Other,Scotland,None,Heterosexual/straight,0
814,0504998,ONPAT,N,N,40,1,1,0,PT,FE,Other vocational programme – other,Glenrothes,76,12/09/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,3213,Male,Other,Scotland,None,Heterosexual/straight,0
900,0505553,CDGFE4,N,Y,20,8,1,5,PT,FE,Other vocational programme – other,Other,0,17/08/2023 12:56,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,No,No,Scottish,847,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
900,0505553,HCCYB7,N,Y,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,11,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,847,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
900,0505553,ONWLE5,N,N,20,20,1,1,PT,FE,Other vocational programme – other,Other,0,17/08/2023 12:56,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,No,No,Scottish,847,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
985,0506242,CDGFJ4,N,Y,20,8,1,5,PT,FE,Other vocational programme – other,Other,0,16/01/2024 08:12,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,No,No,Scottish,5822,Male,Other,Scotland,None,Heterosexual/straight,0
985,0506242,MAPSO2,N,Y,240,6,1,40,PT,FE,Other vocational programme – other,Rosyth,10,15/01/2024 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,5822,Male,Other,Scotland,None,Heterosexual/straight,0
985,0506242,ONWLJ5,N,N,20,20,1,1,PT,FE,Other vocational programme – other,Other,0,16/01/2024 15:54,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,No,No,Scottish,5822,Male,Other,Scotland,None,Heterosexual/straight,0
986,0506254,HDSOP,N,Y,600,36,2,0,FT,HE,Other vocational programme – other,Glenrothes,0,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,Specific learning difficulty,Yes,No,Scottish,2452,Male,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,1
