StudentID,IdNumber,CourseKey,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Average of AttendanceRate,Withdrawn
266,0501467,ONPFQ-HP121K-2021,ONPFQ,N,N,14,0,1,0,PT,FE,Other vocational programme – other,Other,-29,21/06/2022 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,171,Female,Other,Scotland,None,Heterosexual/straight,0.5,0
307,0501690,HEHSPF-FI121A-2021,HEHSPF,N,N,40,52,1,0,PT,HE,Other vocational programme – other,Other,-15,30/08/2021 00:00,N,Registered unemployed – receiving jobseekers allowance,Universal Credit (UC),No,Multiple,No,No,Scottish,492,Male,Other,Scotland,Prefer not to say,Heterosexual/straight,0.8888848484848485,0
330,0501871,HDCOU-BE221A-2021,HDCOU,N,N,360,34,2,9,PT,HE,Other vocational programme – other,Kirkcaldy,61,30/08/2021 00:00,N,Permanent or temporary employment,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,5157,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.8787878787878788,0
408,0502303,HDASNM-BF221A-2021,HDASNM,Y,N,720,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,20,30/08/2021 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1307,Female,Other,Scotland,Prefer not to say,Heterosexual/straight,1,0
436,0502458,ONASE-HP121B-2021,ONASE,N,N,6,0,1,0,PT,FE,Other vocational programme – other,Other,72,26/08/2021 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,3259,Male,Prefer not to say,Scotland,None,Prefer not to say,1,0
436,0502458,ONFSP-HW121G-2021,ONFSP,N,N,6,0,1,0,PT,FE,Other vocational programme – other,Other,-14,30/05/2022 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,3259,Male,Prefer not to say,Scotland,None,Prefer not to say,1,0
539,0503139,NQPFS5-BF121A-2021,NQPFS5,N,N,720,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,0,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2497,Female,Other,Scotland,None,Heterosexual/straight,0.9864078947368421,0
628,0503813,HCAIT-HE121A-2021,HCAIT,N,N,240,34,2,0,PT,HE,Other vocational programme – other,Dunfermline,54,30/08/2021 00:00,N,Permanent or temporary employment,Fee waiver – working tax credit,No,No known disability,No,No,Scottish,4390,Female,Other,Scotland,None,Heterosexual/straight,0.9358974358974359,0
674,0504540,HCSSH-SF121A-2021,HCSSH,Y,N,600,36,1,0,FT,HE,Other vocational programme – other,Glenrothes,11,30/08/2021 00:00,N,Full-time college based not included above,Self-financing student,No,No known disability,No,No,Scottish,2505,Female,Other,Scotland,None,Heterosexual/straight,0.9967567567567568,0
711,0504610,ONUPS1-HP121A-2021,ONUPS1,N,N,120,34,2,0,PT,FE,Other vocational programme – for students with learning difficulties,Dunfermline,-87,30/08/2021 00:00,N,Not registered unemployed but not working,Fee waiver – student on a DPG 18 / PG 5 programme,No,Social or communication impairment,No,No,Scottish,5161,Male,Other,Scotland,None,Heterosexual/straight,1,0
780,0504917,ONGEA4-SF121B-2021,ONGEA4,N,Y,720,36,1,18,FT,FE,Other vocational programme – other,Glenrothes,54,30/08/2021 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Specific learning difficulty,No,No,Scottish,2099,Male,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0.6458217391304347,1
783,0504921,NCAHL6-HF121A-2021,NCAHL6,N,Y,760,36,1,0,FT,FE,Other vocational programme – other,Dunfermline,0,24/09/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,British,5127,Female,Other,England,Christian: Protestant,Heterosexual/straight,0.9769470588235294,0
783,0504921,NQACC6-SF121A-2021,NQACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Glenrothes,54,30/08/2021 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,British,5127,Female,Other,England,Christian: Protestant,Heterosexual/straight,0.8,1
841,0505086,HDLSV-BF221A-2021,HDLSV,N,N,600,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,39,30/08/2021 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,Mental Health Condition,No,No,Scottish,5751,Female,Other,Scotland,None,Heterosexual/straight,0.9022837837837838,0
958,0505944,NQPSS5-BF121A-2021,NQPSS5,N,N,640,36,1,0,FT,FE,Other vocational programme – other,Kirkcaldy,54,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2690,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0.9858405405405406,0
984,0506196,NCCHS5-SF121B-2021,NCCHS5,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,21,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,3789,Female,Married,Scotland,None,Gay woman/lesbian,0.9814277777777778,0
