EnrolmentID,IdNumber,Age,Age_CourseStart,AllCourseID,AnnualStartDate,AnnualEndDate,EnrolledOnDate,ClassSize,DisabilityCode,EthnicityCode,FE,FT,GenderCode,HasChildcareFund,HasHardshipFund,HE,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ScqfLevelCode,ReligionCode,SexualOrientationCode,SIMD_Rank,PI_1,AttendanceRate,AuthAbsenseRate,AbsenseRate
1422335,1619409,37,35,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,04,10,N,N,F,0,0,Y,0,2,3,08,34,166,Y,07,01,1,1752,Completed: Partial Success,1,0,0
1422336,2260874,18,17,SP1A,2022-08-23 00:00:00,2023-06-17 00:00:00,2022-09-21 00:00:00,12,08,10,Y,N,M,0,0,N,9,1,4,08,40,340,Y,03,01,1,2354,Completed: Successful,1,0,0
1422344,2272794,62,60,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,01,10,N,N,M,0,0,Y,0,2,4,08,34,166,Y,07,02,1,584,Early Withdrawal,1,0,0
1422351,1636767,18,17,HF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,20,09,10,N,Y,M,0,0,Y,16,1,4,17,40,640,N,07,01,1,1016,Further Withdrawal,1,0,0
1422369,1504459,23,22,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,01,10,N,N,M,0,0,Y,0,2,3,08,34,166,Y,07,01,1,2973,Completed: Successful,1,0,0
1422377,0604845,30,29,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,01,10,N,N,M,0,0,Y,0,2,3,08,34,166,Y,07,02,1,726,Completed: Partial Success,1,0,0
1422397,1523810,18,17,SF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,15,01,10,Y,Y,M,0,0,N,19,1,4,17,40,760,N,05,11,1,5201,Completed: Partial Success,1,0,0
1422412,1896831,19,18,SF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-21 00:00:00,15,01,10,Y,Y,M,0,0,N,19,1,3,17,40,760,N,05,01,1,1703,Completed: Partial Success,1,0,0
1422433,1882161,19,17,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,02,10,N,N,M,0,0,Y,0,2,3,08,34,166,Y,07,01,1,5751,Completed: Partial Success,1,0,0
1422441,2272814,55,54,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,01,10,N,N,M,0,0,Y,0,2,1,08,34,166,Y,07,01,1,1772,Early Withdrawal,1,0,0
1422450,1998449,20,19,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,02,10,N,N,M,0,0,Y,0,2,4,08,34,166,Y,07,01,1,5739,Completed: Partial Success,1,0,0
1422452,2025122,19,18,SB1A,2022-08-29 00:00:00,2023-06-16 00:00:00,2022-09-21 00:00:00,14,01,10,Y,Y,M,0,0,N,0,4,4,17,27,760,N,06,01,1,1209,Completed: Successful,1,0,0
1422460,2272825,58,57,SP1A,2022-08-31 00:00:00,2023-06-14 00:00:00,2022-09-21 00:00:00,12,06,10,N,N,I,0,0,Y,0,2,4,08,34,166,Y,07,11,6,2511,Completed: Partial Success,1,0,0
