EnrolmentID,IdNumber,Age,Age_CourseStart,AllCourseID,AnnualStartDate,AnnualEndDate,EnrolledOnDate,ClassSize,DisabilityCode,EthnicityCode,FE,FT,GenderCode,HasChildcareFund,HasHardshipFund,HE,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ScqfLevelCode,ReligionCode,SexualOrientationCode,SIMD_Rank,PI_1,AttendanceRate,AuthAbsenseRate,AbsenseRate
1424093,1896310,21,19,HD1B,2022-08-29 00:00:00,2023-06-17 00:00:00,2022-09-26 00:00:00,14,01,31,Y,N,M,0,0,N,12,1,4,07,40,480,Y,06,01,1,6469,Completed: Successful,1,0,0
1424107,2153674,27,25,HD1B,2022-08-29 00:00:00,2023-06-17 00:00:00,2022-09-26 00:00:00,14,01,10,Y,N,M,0,0,N,12,1,3,07,40,480,Y,06,02,1,4338,Completed: Successful,1,0,0
1424109,2164817,21,19,HE1A,2022-08-30 00:00:00,2023-06-22 00:00:00,2022-09-26 00:00:00,7,01,10,Y,N,M,0,0,N,10,4,3,09,40,400,Y,06,01,1,1564,Completed: Successful,1,0,0
1424123,2154993,25,24,HD1B,2022-08-29 00:00:00,2023-06-17 00:00:00,2022-09-26 00:00:00,14,01,10,Y,N,M,0,0,N,12,1,3,07,40,480,Y,06,01,1,5883,Completed: Successful,0,0.8,1
1424137,2271437,19,17,HD1B,2022-08-29 00:00:00,2023-06-17 00:00:00,2022-09-26 00:00:00,14,01,10,Y,N,M,0,0,N,12,1,3,07,40,480,Y,06,01,1,2013,Completed: Successful,1,0,0
1424141,1522996,24,22,BF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,18,09,10,Y,Y,F,0,0,N,18,1,4,17,40,720,N,05,11,1,456,Further Withdrawal,0.9,0.04616,0.04616
1424158,2266827,26,25,BF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,18,01,13,Y,Y,F,0,1,N,18,1,3,17,40,720,N,05,03,1,4363,Completed: Successful,1,0,0
1424175,2262645,17,16,HF1B,2022-08-31 00:00:00,2023-06-23 00:00:00,2022-08-29 00:00:00,20,01,10,Y,Y,F,0,0,N,18,1,3,17,40,680,N,05,01,1,3100,Completed: Successful,0.49144,0,0.50856
1424193,2267892,33,32,BF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-27 00:00:00,23,01,14,Y,Y,F,0,1,N,18,1,3,17,40,720,N,06,04,1,5186,Completed: Successful,0.928566,0.071433,0.071433
1424194,1992645,34,32,BF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-27 00:00:00,20,09,24,N,Y,M,0,0,Y,0,1,3,17,36,600,N,07,01,1,2798,Early Withdrawal,1,0,0
1424195,2267839,26,25,EE1A,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-27 00:00:00,22,01,10,N,N,F,0,0,Y,7,2,3,09,30,280,Y,07,03,1,6573,Completed: Partial Success,,,
1424198,2165896,48,47,EE1A,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-27 00:00:00,22,01,10,N,N,F,0,0,Y,7,2,4,09,30,280,Y,07,01,1,3607,Completed: Partial Success,,,
1424199,2165898,60,59,EE1B,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-27 00:00:00,18,01,10,N,N,F,0,0,Y,7,2,3,09,30,280,Y,07,01,1,3154,Completed: Successful,,,
1424202,1762917,17,15,HF1A,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-27 00:00:00,45,01,10,Y,Y,F,0,0,N,0,1,4,17,36,720,N,05,01,1,5310,Further Withdrawal,1,0,0
1424203,2264255,17,16,LF1A,2022-08-29 00:00:00,2023-01-27 00:00:00,2022-09-27 00:00:00,18,09,10,Y,Y,F,0,0,N,32,1,4,17,18,640,N,05,01,1,3308,Early Withdrawal,0.466666,0,0.533333
1424204,1642470,18,17,HF1B,2022-08-29 00:00:00,2023-06-23 00:00:00,2022-09-27 00:00:00,20,01,31,Y,Y,F,0,0,N,0,1,4,17,33,720,N,05,01,4,3316,Completed: Partial Success,1,0,0
1424209,2267746,53,52,EE1A,2022-10-04 00:00:00,2023-06-16 00:00:00,2022-09-27 00:00:00,22,01,10,N,N,M,0,0,Y,7,2,3,09,30,280,Y,07,01,1,2068,Completed: Partial Success,,,
1424210,1884245,53,52,BW1A,2022-08-29 00:00:00,2023-06-10 00:00:00,2022-09-27 00:00:00,6,01,10,Y,N,F,0,0,N,0,2,4,11,34,160,Y,06,01,1,1036,Completed: Successful,,,
1424215,2272587,19,18,SO1A,2022-09-02 00:00:00,2023-06-21 00:00:00,2022-09-27 00:00:00,55,01,10,Y,N,F,0,0,N,2,1,3,12,40,80,Y,05,01,1,4536,Completed: Successful,,,
